,datetime,open,high,low,close,volume,sig_sma
0,2025-01-01 20:00:00+00:00,94627.08,94852.7,94579.83,94786.23,424.43,0.0
1,2025-01-01 21:00:00+00:00,94786.23,95151.15,94687.87,94978.48,636.81,0.0
2,2025-01-01 22:00:00+00:00,94978.48,94997.32,94685.81,94802.98,409.75,0.0
3,2025-01-01 23:00:00+00:00,94802.99,94952.29,94542.0,94591.79,436.93,0.0
4,2025-01-02 00:00:00+00:00,94591.78,95381.7,94392.0,95128.59,1181.78,0.0
5,2025-01-02 01:00:00+00:00,95128.59,95516.0,94699.69,94862.72,1143.37,0.0
6,2025-01-02 02:00:00+00:00,94862.73,95234.37,94803.03,95234.36,455.63,0.0
7,2025-01-02 03:00:00+00:00,95234.37,95299.24,94913.75,95010.33,290.3,0.0
8,2025-01-02 04:00:00+00:00,95010.34,96000.0,94984.84,95708.07,925.65,0.0
9,2025-01-02 05:00:00+00:00,95708.07,95800.0,95395.21,95596.48,702.15,0.0
10,2025-01-02 06:00:00+00:00,95596.48,95697.01,95380.04,95574.99,517.49,1.0
11,2025-01-02 07:00:00+00:00,95575.0,95880.0,95505.35,95822.0,452.6,1.0
12,2025-01-02 08:00:00+00:00,95822.01,96211.54,95640.05,96150.0,844.77,1.0
13,2025-01-02 09:00:00+00:00,96150.0,96799.86,96036.86,96755.51,976.01,1.0
14,2025-01-02 10:00:00+00:00,96755.51,96808.37,96538.77,96708.0,826.76,1.0
15,2025-01-02 11:00:00+00:00,96708.0,96876.38,96469.46,96732.99,533.64,1.0
16,2025-01-02 12:00:00+00:00,96733.0,96895.0,96609.42,96850.01,677.29,1.0
17,2025-01-02 13:00:00+00:00,96850.01,96988.05,96436.0,96458.17,903.28,1.0
18,2025-01-02 14:00:00+00:00,96458.17,97440.91,95924.6,97256.49,3007.12,1.0
19,2025-01-02 15:00:00+00:00,97256.48,97323.16,96164.78,96455.01,2007.07,1.0
20,2025-01-02 16:00:00+00:00,96455.01,97650.0,96040.04,97229.74,1725.02,1.0
21,2025-01-02 17:00:00+00:00,97229.75,97591.84,96325.44,96757.57,1272.72,1.0
22,2025-01-02 18:00:00+00:00,96757.57,97350.0,96400.0,97319.74,839.92,1.0
23,2025-01-02 19:00:00+00:00,97319.74,97777.0,97200.0,97317.74,714.44,1.0
24,2025-01-02 20:00:00+00:00,97317.74,97839.5,97300.0,97306.46,718.86,1.0
25,2025-01-02 21:00:00+00:00,97306.46,97355.77,97040.16,97212.68,394.14,1.0
26,2025-01-02 22:00:00+00:00,97212.69,97212.69,96666.66,96911.04,418.75,1.0
27,2025-01-02 23:00:00+00:00,96911.04,97077.78,96758.17,96984.79,441.77,1.0
28,2025-01-03 00:00:00+00:00,96984.79,97080.96,96796.56,96825.82,315.05,1.0
29,2025-01-03 01:00:00+00:00,96825.83,97000.0,96650.0,96985.47,342.32,1.0
30,2025-01-03 02:00:00+00:00,96985.47,97342.44,96856.98,96966.85,388.67,1.0
31,2025-01-03 03:00:00+00:00,96966.85,97090.91,96833.99,97062.3,255.78,1.0
32,2025-01-03 04:00:00+00:00,97062.3,97066.18,96766.51,96813.41,265.51,1.0
33,2025-01-03 05:00:00+00:00,96813.49,96860.48,96590.28,96765.34,316.49,1.0
34,2025-01-03 06:00:00+00:00,96765.35,96918.56,96512.0,96539.49,382.4,1.0
35,2025-01-03 07:00:00+00:00,96539.49,96645.83,96280.65,96304.0,546.85,1.0
36,2025-01-03 08:00:00+00:00,96304.0,96529.84,96100.01,96129.97,543.38,1.0
37,2025-01-03 09:00:00+00:00,96129.97,96702.48,96107.84,96554.32,528.0,1.0
38,2025-01-03 10:00:00+00:00,96554.32,96640.01,96402.82,96488.53,355.41,1.0
39,2025-01-03 11:00:00+00:00,96488.53,96830.0,96482.51,96757.58,448.43,1.0
40,2025-01-03 12:00:00+00:00,96757.57,96921.36,96666.66,96666.66,387.57,1.0
41,2025-01-03 13:00:00+00:00,96666.66,96839.71,96472.43,96504.79,630.82,1.0
42,2025-01-03 14:00:00+00:00,96504.8,97342.44,96504.79,97016.01,1390.57,1.0
43,2025-01-03 15:00:00+00:00,97016.0,97660.0,96759.12,97521.35,1587.63,1.0
44,2025-01-03 16:00:00+00:00,97521.36,98444.42,97406.54,97868.2,1899.91,1.0
