datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2025-01-01 00:00:00,long,buy,93530.0,0.0,999.5,-0.05,-0.05
2025-01-01 04:00:00,long,same direction,93530.0,0.0,999.5,0.0,-0.05
2025-01-01 08:00:00,long,same direction,93530.0,0.0,999.5,0.0,-0.05
2025-01-01 12:00:00,long,same direction,93530.0,0.0,999.5,0.0,-0.05
2025-01-01 16:00:00,long,same direction,93530.0,0.0,999.5,0.0,-0.05
2025-01-01 20:00:00,long,same direction,93530.0,0.0,999.5,0.0,-0.05
2025-01-02 00:00:00,long,same direction,93530.0,0.0,999.5,0.0,-0.05
2025-01-02 04:00:00,long,same direction,93530.0,0.0,999.5,0.0,-0.05
2025-01-02 08:00:00,long,same direction,93530.0,0.0,999.5,0.0,-0.05
2025-01-02 12:00:00,long,same direction,93530.0,0.0,999.5,0.0,-0.05
2025-01-02 16:00:00,long,same direction,93530.0,0.0,999.5,0.0,-0.05
2025-01-02 20:00:00,long,same direction,93530.0,0.0,999.5,0.0,-0.05
2025-01-03 00:00:00,long,same direction,93530.0,0.0,999.5,0.0,-0.05
2025-01-03 04:00:00,long,same direction,93530.0,0.0,999.5,0.0,-0.05
2025-01-03 08:00:00,long,same direction,93530.0,0.0,999.5,0.0,-0.05
2025-01-03 12:00:00,long,same direction,93530.0,0.0,999.5,0.0,-0.05
2025-01-03 16:00:00,long,same direction,93530.0,0.0,999.5,0.0,-0.05
2025-01-03 16:23:00,long,sell - take_profit,93530.0,98287.9,1049.85,5.04,4.99
2025-01-03 20:00:00,long,buy,98555.2,0.0,1049.32,-0.05,4.94
2025-01-04 00:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-04 04:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-04 08:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-04 12:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-04 16:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-04 20:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-05 00:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-05 04:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-05 08:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-05 12:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-05 16:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-05 20:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-06 00:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-06 04:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-06 08:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-06 12:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-06 16:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-06 20:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-07 00:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-07 04:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-07 08:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-07 12:00:00,long,same direction,98555.2,0.0,1049.32,0.0,4.94
2025-01-07 16:00:00,short,sell - direction change,98555.2,97905.1,1041.87,-0.71,4.23
2025-01-07 16:00:00,short,buy,97905.1,0.0,1041.35,-0.05,4.18
2025-01-07 20:00:00,long,sell - direction change,97905.1,96415.7,1056.67,1.47,5.65
2025-01-07 20:00:00,long,buy,96415.7,0.0,1056.15,-0.05,5.6
2025-01-08 00:00:00,short,sell - direction change,96415.7,96908.1,1061.01,0.46,6.06
2025-01-08 00:00:00,short,buy,96908.1,0.0,1060.48,-0.05,6.01
2025-01-08 04:00:00,short,same direction,96908.1,0.0,1060.48,0.0,6.01
2025-01-08 08:00:00,short,same direction,96908.1,0.0,1060.48,0.0,6.01
2025-01-08 12:00:00,short,same direction,96908.1,0.0,1060.48,0.0,6.01
2025-01-08 16:00:00,short,same direction,96908.1,0.0,1060.48,0.0,6.01
2025-01-08 20:00:00,short,same direction,96908.1,0.0,1060.48,0.0,6.01
2025-01-09 00:00:00,short,same direction,96908.1,0.0,1060.48,0.0,6.01
2025-01-09 04:00:00,short,same direction,96908.1,0.0,1060.48,0.0,6.01
2025-01-09 08:00:00,short,same direction,96908.1,0.0,1060.48,0.0,6.01
2025-01-09 12:00:00,long,sell - direction change,96908.1,93410.1,1098.23,3.56,9.57
2025-01-09 12:00:00,long,buy,93410.1,0.0,1097.68,-0.05,9.52
2025-01-09 16:00:00,short,sell - direction change,93410.1,94210.8,1106.54,0.81,10.33
2025-01-09 16:00:00,short,buy,94210.8,0.0,1105.99,-0.05,10.28
2025-01-09 20:00:00,long,sell - direction change,94210.8,91859.5,1133.04,2.45,12.72
2025-01-09 20:00:00,long,buy,91859.5,0.0,1132.47,-0.05,12.67
2025-01-10 00:00:00,long,same direction,91859.5,0.0,1132.47,0.0,12.67
2025-01-10 04:00:00,long,same direction,91859.5,0.0,1132.47,0.0,12.67
2025-01-10 08:00:00,long,same direction,91859.5,0.0,1132.47,0.0,12.67
2025-01-10 12:00:00,long,same direction,91859.5,0.0,1132.47,0.0,12.67
2025-01-10 16:00:00,long,same direction,91859.5,0.0,1132.47,0.0,12.67
2025-01-10 20:00:00,long,same direction,91859.5,0.0,1132.47,0.0,12.67
2025-01-11 00:00:00,long,same direction,91859.5,0.0,1132.47,0.0,12.67
2025-01-11 04:00:00,long,same direction,91859.5,0.0,1132.47,0.0,12.67
2025-01-11 08:00:00,long,same direction,91859.5,0.0,1132.47,0.0,12.67
2025-01-11 12:00:00,long,same direction,91859.5,0.0,1132.47,0.0,12.67
2025-01-11 16:00:00,long,same direction,91859.5,0.0,1132.47,0.0,12.67
2025-01-11 20:00:00,long,same direction,91859.5,0.0,1132.47,0.0,12.67
2025-01-12 00:00:00,long,same direction,91859.5,0.0,1132.47,0.0,12.67
2025-01-12 04:00:00,long,same direction,91859.5,0.0,1132.47,0.0,12.67
2025-01-12 08:00:00,long,same direction,91859.5,0.0,1132.47,0.0,12.67
2025-01-12 12:00:00,long,same direction,91859.5,0.0,1132.47,0.0,12.67
2025-01-12 16:00:00,long,same direction,91859.5,0.0,1132.47,0.0,12.67
2025-01-12 20:00:00,long,same direction,91859.5,0.0,1132.47,0.0,12.67
2025-01-13 00:00:00,short,sell - direction change,91859.5,94510.0,1164.58,2.84,15.51
2025-01-13 00:00:00,short,buy,94510.0,0.0,1164.0,-0.05,15.46
2025-01-13 04:00:00,short,same direction,94510.0,0.0,1164.0,0.0,15.46
2025-01-13 08:00:00,short,same direction,94510.0,0.0,1164.0,0.0,15.46
2025-01-13 12:00:00,short,same direction,94510.0,0.0,1164.0,0.0,15.46
2025-01-13 14:35:00,short,sell - take_profit,94510.0,89100.0,1230.05,5.67,21.13
2025-01-13 16:00:00,short,buy,92081.1,0.0,1229.43,-0.05,21.08
2025-01-13 20:00:00,long,sell - direction change,92081.1,92260.7,1226.42,-0.25,20.84
2025-01-13 20:00:00,long,buy,92260.7,0.0,1225.81,-0.05,20.79
2025-01-14 00:00:00,long,same direction,92260.7,0.0,1225.81,0.0,20.79
2025-01-14 04:00:00,long,same direction,92260.7,0.0,1225.81,0.0,20.79
2025-01-14 08:00:00,long,same direction,92260.7,0.0,1225.81,0.0,20.79
2025-01-14 09:40:00,long,sell - take_profit,92260.7,96930.1,1287.23,5.01,25.8
2025-01-14 12:00:00,long,buy,96526.2,0.0,1286.59,-0.05,25.75
2025-01-14 16:00:00,long,same direction,96526.2,0.0,1286.59,0.0,25.75
2025-01-14 20:00:00,long,same direction,96526.2,0.0,1286.59,0.0,25.75
2025-01-15 00:00:00,long,same direction,96526.2,0.0,1286.59,0.0,25.75
2025-01-15 04:00:00,long,same direction,96526.2,0.0,1286.59,0.0,25.75
2025-01-15 08:00:00,long,same direction,96526.2,0.0,1286.59,0.0,25.75
2025-01-15 12:00:00,long,same direction,96526.2,0.0,1286.59,0.0,25.75
2025-01-15 16:00:00,long,same direction,96526.2,0.0,1286.59,0.0,25.75
2025-01-15 20:00:00,long,same direction,96526.2,0.0,1286.59,0.0,25.75
