,datetime,action,buy_price,sell_price,pnl_percent,pnl_sum,balance
0,2025-01-01 00:00:00+00:00,buy,93530.0,0.0,0.0,-0.05,999.5
1,2025-01-03 16:23:00+00:00,sell-tp,93530.0,98287.9,5.087,5.037,1049.87
2,2025-01-03 20:00:00+00:00,buy,98555.2,0.0,0.0,4.987,1049.35
3,2025-01-07 16:00:00+00:00,change_direction,98555.2,97905.1,-0.6596,4.3274,1041.9
4,2025-01-07 16:00:00+00:00,short,97905.1,0.0,0.0,4.2774,1041.37
5,2025-01-07 20:00:00+00:00,change_direction,97905.1,96415.7,1.5213,5.7987,1056.7
6,2025-01-07 20:00:00+00:00,buy,96415.7,0.0,0.0,5.7487,1056.17
7,2025-01-08 00:00:00+00:00,change_direction,96415.7,96908.1,0.5107,6.2594,1061.04
8,2025-01-08 00:00:00+00:00,short,96908.1,0.0,0.0,6.2094,1060.51
9,2025-01-09 12:00:00+00:00,change_direction,96908.1,93410.1,3.6096,9.819,1098.28
10,2025-01-09 12:00:00+00:00,buy,93410.1,0.0,0.0,9.769,1097.73
11,2025-01-09 16:00:00+00:00,change_direction,93410.1,94210.8,0.8572,10.6262,1106.6
12,2025-01-09 16:00:00+00:00,short,94210.8,0.0,0.0,10.5762,1106.04
13,2025-01-09 20:00:00+00:00,change_direction,94210.8,91859.5,2.4958,13.072,1133.11
14,2025-01-09 20:00:00+00:00,buy,91859.5,0.0,0.0,13.022,1132.54
15,2025-01-13 00:00:00+00:00,change_direction,91859.5,94510.0,2.8854,15.9073,1164.67
16,2025-01-13 00:00:00+00:00,short,94510.0,0.0,0.0,15.8573,1164.09
17,2025-01-13 14:35:00+00:00,cover-tp,94510.0,89100.0,5.7243,21.5816,1230.18
18,2025-01-13 16:00:00+00:00,short,92081.1,0.0,0.0,21.5316,1229.56
19,2025-01-13 20:00:00+00:00,change_direction,92081.1,92260.7,-0.195,21.3366,1226.55
20,2025-01-13 20:00:00+00:00,buy,92260.7,0.0,0.0,21.2866,1225.93
21,2025-01-14 09:40:00+00:00,sell-tp,92260.7,96930.1,5.0611,26.3476,1287.4
22,2025-01-14 12:00:00+00:00,buy,96526.2,0.0,0.0,26.2976,1286.75
23,2025-01-17 01:40:00+00:00,sell-tp,96526.2,101448.0,5.0989,31.3966,1351.75
24,2025-01-17 04:00:00+00:00,buy,101016.1,0.0,0.0,31.3466,1351.08
25,2025-01-19 19:58:00+00:00,sell-tp,101016.1,106103.5,5.0362,36.3828,1418.48
26,2025-01-19 20:00:00+00:00,short,106231.4,0.0,0.0,36.3328,1417.77
27,2025-01-19 23:19:00+00:00,cover-tp,106231.4,100375.1,5.5128,41.8456,1495.26
28,2025-01-20 00:00:00+00:00,buy,101310.7,0.0,0.0,41.7956,1494.51
29,2025-01-20 06:49:00+00:00,sell-tp,101310.7,106714.5,5.3339,47.1295,1573.52
30,2025-01-20 08:00:00+00:00,buy,107172.9,0.0,0.0,47.0795,1572.73
31,2025-01-20 16:13:00+00:00,sell-sl,107172.9,103723.6,-3.2184,43.861,1521.3
32,2025-01-20 20:00:00+00:00,buy,103693.3,0.0,0.0,43.811,1520.54
33,2025-01-21 01:29:00+00:00,sell-sl,103693.3,100200.3,-3.3686,40.4424,1468.53
34,2025-01-21 04:00:00+00:00,buy,102915.8,0.0,0.0,40.3924,1467.8
35,2025-01-23 00:00:00+00:00,change_direction,102915.8,103670.4,0.7332,41.1257,1477.83
36,2025-01-23 00:00:00+00:00,short,103670.4,0.0,0.0,41.0757,1477.09
37,2025-01-23 12:00:00+00:00,change_direction,103670.4,101921.5,1.687,42.7626,1501.28
38,2025-01-23 12:00:00+00:00,buy,101921.5,0.0,0.0,42.7126,1500.53
